Namespace(GPU_id='1', adam_alpha=0.9, adam_beta=0.999, batch_size=64, caption_length_max=100, class_num=11000, cr_beta=0.1, dataroot='../dataset/CUHK-PEDES', dataset='CUHK-PEDES', device=device(type='cuda', index=1), epoch=60, epoch_decay=[20, 40], feature_length=1024, last_lstm=False, lr=0.001, margin=0.2, mode='train', model_name='MFNI_bert_stride3', part=6, pkl_root='../dataset/CUHK-PEDES/bert_processed_data/', resume='restart', save_path='./checkpoints/CUHK-PEDES/MFNI_bert_stride3', stride=1, vocab_size=5000, wordtype='bert')
lr:0.001
lr:0.0001
Epoch: 1/60 Setp: 50, ranking_loss: 23.43, id_loss: 40.05, mn_loss: 6.48215
Epoch: 1/60 Setp: 100, ranking_loss: 24.49, id_loss: 32.97, mn_loss: 0.85360
Epoch: 1/60 Setp: 150, ranking_loss: 24.23, id_loss: 31.52, mn_loss: 0.80351
Epoch: 1/60 Setp: 200, ranking_loss: 21.66, id_loss: 30.11, mn_loss: 0.52695
Epoch: 1/60 Setp: 250, ranking_loss: 20.84, id_loss: 29.03, mn_loss: 0.43449
Epoch: 1/60 Setp: 300, ranking_loss: 19.15, id_loss: 29.41, mn_loss: 0.45513
Epoch: 1/60 Setp: 350, ranking_loss: 16.85, id_loss: 27.32, mn_loss: 0.50417
Epoch: 1/60 Setp: 400, ranking_loss: 16.76, id_loss: 27.24, mn_loss: 0.43921
Epoch: 1/60 Setp: 450, ranking_loss: 16.98, id_loss: 26.91, mn_loss: 0.50945
Epoch: 1/60 Setp: 500, ranking_loss: 15.03, id_loss: 25.50, mn_loss: 0.40360
Epoch: 1/60 Setp: 550, ranking_loss: 13.16, id_loss: 23.65, mn_loss: 0.46920
Epoch: 1/60 Setp: 600, ranking_loss: 13.77, id_loss: 24.42, mn_loss: 0.42496
Epoch: 1/60 Setp: 650, ranking_loss: 14.05, id_loss: 23.88, mn_loss: 0.41574
Epoch: 1/60 Setp: 700, ranking_loss: 12.65, id_loss: 23.30, mn_loss: 0.54940
Epoch: 1/60 Setp: 750, ranking_loss: 13.32, id_loss: 20.13, mn_loss: 0.41132
Epoch: 1/60 Setp: 800, ranking_loss: 13.71, id_loss: 22.78, mn_loss: 0.42860
Epoch: 1/60 Setp: 850, ranking_loss: 12.35, id_loss: 21.81, mn_loss: 0.43394
Epoch: 1/60 Setp: 900, ranking_loss: 11.59, id_loss: 20.78, mn_loss: 0.38224
Epoch: 1/60 Setp: 950, ranking_loss: 11.79, id_loss: 20.53, mn_loss: 0.44372
Epoch: 1/60 Setp: 1000, ranking_loss: 12.63, id_loss: 21.12, mn_loss: 0.42631
Epoch: 1/60 Setp: 1050, ranking_loss: 12.51, id_loss: 20.32, mn_loss: 0.39622
Epoch: 1/60 , ranking_loss: 16.65, id_loss: 26.07, mn_loss: 0.67985
lr:0.001
lr:0.0001
Epoch: 2/60 Setp: 50, ranking_loss: 13.25, id_loss: 20.11, mn_loss: 0.43227
Epoch: 2/60 Setp: 100, ranking_loss: 10.81, id_loss: 17.59, mn_loss: 0.48425
Epoch: 2/60 Setp: 150, ranking_loss: 10.38, id_loss: 18.97, mn_loss: 0.40937
Epoch: 2/60 Setp: 200, ranking_loss: 9.57, id_loss: 17.07, mn_loss: 0.47843
Epoch: 2/60 Setp: 250, ranking_loss: 12.20, id_loss: 17.62, mn_loss: 0.44810
